"Experiment","Run","TP","Actual_TP","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S1",1,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952473183402,2,8.96699999999998,"x4","p2(x4)",""
"S2",1,FALSE,FALSE,3,0.923324584770291,0.923324584770291,21.4083220636132,3,9.01600000000008,"x4","x4*x4","p3(x4)"
"S3",1,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5954421165262,2,9.39800000000002,"x4","x4*x4",""
"S4",1,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.6316404451894,2,9.16099999999994,"x4","x4*x4",""
"S5",1,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5957600657706,2,7.92499999999995,"x4","x4*x4",""
"S6",1,FALSE,FALSE,3,0.983168571593317,0.983168571593317,2.90219258723775,3,9.17500000000007,"troot(x4)","x6*x4","x4"
"P1",1,FALSE,FALSE,3,0.923324584770291,0.923324584770291,21.4598252413958,3,7.27200000000005,"x4","x4*x4","p3(x4)"
"P2",1,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5933677236855,2,9.50599999999997,"x4","p2(x4)",""
"P3",1,FALSE,FALSE,2,0.979126086010804,0.979126086010804,3.18457436380285,2,7.12099999999998,"troot(x4)","x4*x7",""
"P4",1,FALSE,FALSE,2,0.922647855482168,0.922647855482168,45.8640256612803,2,10.128,"x4","p3(x4)",""
"P5",1,FALSE,FALSE,2,0.963924162421436,0.963924162421436,1.30205634456357,2,8.38800000000003,"x4","troot(x3*x4)",""
"P6",1,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952605652409,2,8.75400000000002,"x4","x4*x4",""
